,industry,jobtitle,skill_s
122,IT-Software ,Sales Manager,marketing communication skills planning abilities analysis delegation
123,Banking ,Business Development Manager,strategic skills ms office teamwork communication skills marketing
124,Medical ,Content Writer,"adaptability research skills seo, search engine optimization editing poetry"
125,Medical ,Content Writer,"adaptability research skills seo, search engine optimization editing poetry"
126,Internet ,Java Developer,java data structures algorithms advanced java web services
127,Pharma ,Software Engineer,coding c c++ python software testing machine learning deep learning java oop
128,BPO ,Software Engineer,coding c c++ python software testing machine learning deep learning java oop
129,IT-Software ,Software Engineer,coding c c++ python software testing machine learning deep learning java oop
130,Education ,Sales Executive,marketing analytics communication skills sales force stratergy
131,Banking ,Business Analyst,analytical skills marketing management skills ms office presentation skills
132,Education ,Business Development Manager,strategic skills ms office teamwork communication skills marketing
133,Medical ,Business Development Executive,strategic skills ms excel teamwork communication skills marketing
134,BPO ,Content Writer,"adaptability research skills seo, search engine optimization editing poetry"
135,IT-Software ,Java Developer,java data structures algorithms advanced java web services
136,Internet ,Senior Software Engineer,communication skills sql queries system desgin machine learning deep learning data structures  devops http algorithms rest api soap saas json nosql mongodb
137,IT-Software ,Project Manager,teamwork communication skills ms office management analytical skills
138,IT-Software ,Web Developer,html css javascript vue js react node angular frontend
139,Internet ,Web Designer,css html frontend analytical skills photoshop
140,Recruitment ,Software Developer,python java c c++ algorithmic desgin data structures web services full stack web development
141,Recruitment ,Sales Executive,marketing analytics communication skills sales force stratergy
142,IT-Software ,Business Development Manager,strategic skills ms office teamwork communication skills marketing
143,Recruitment ,Project Manager,teamwork communication skills ms office management analytical skills
144,Recruitment ,Sales Manager,marketing communication skills planning abilities analysis delegation
145,Recruitment ,Content Writer,"adaptability research skills seo, search engine optimization editing poetry"
146,Banking ,Software Engineer,coding c c++ python software testing machine learning deep learning java oop
147,Internet ,Business Analyst,analytical skills marketing management skills ms office presentation skills
148,Banking ,Analyst,communication skills stratergy presentation skills management good listener
149,IT-Software ,Project Manager,teamwork communication skills ms office management analytical skills
150,IT-Software ,Analyst,communication skills stratergy presentation skills management good listener
151,IT-Software ,Business Analyst,analytical skills marketing management skills ms office presentation skills
152,IT-Software ,Business Analyst,analytical skills marketing management skills ms office presentation skills
153,BPO ,Analyst,communication skills stratergy presentation skills management good listener
154,IT-Software ,Web Developer,html css javascript vue js react node angular frontend
155,Internet ,PHP Developer,php javascript css web development html
156,Recruitment ,Android Developer,teamwork java layout desgin firebase ui
157,Medical ,Business Development Manager,strategic skills ms office teamwork communication skills marketing
158,Education ,Content Writer,"adaptability research skills seo, search engine optimization editing poetry"
159,Internet ,Business Development Manager,strategic skills ms office teamwork communication skills marketing
160,Education ,Business Development Executive,strategic skills ms excel teamwork communication skills marketing
161,IT-Software ,Project Manager,teamwork communication skills ms office management analytical skills
162,BPO ,Sales Executive,marketing analytics communication skills sales force stratergy
163,IT-Software ,Content Writer,"adaptability research skills seo, search engine optimization editing poetry"
164,Recruitment ,Marketing Executive,teamwork marketing data science communication skills stratergy
165,Pharma ,Project Manager,teamwork communication skills ms office management analytical skills
166,IT-Software ,Marketing Executive,teamwork marketing data science communication skills stratergy
167,Internet ,Sales Executive,marketing analytics communication skills sales force stratergy
168,Banking ,Product Manager,comercial awareness marketing communication skills creativity presentation skills
169,IT-Software ,Analyst,communication skills stratergy presentation skills management good listener
170,Internet ,Web Developer,html css javascript vue js react node angular frontend
171,Automobile ,Sales Manager,marketing communication skills planning abilities analysis delegation
172,Banking ,Analyst,communication skills stratergy presentation skills management good listener
173,Recruitment ,Product Manager,comercial awareness marketing communication skills creativity presentation skills
174,Internet ,Web Developer,html css javascript vue js react node angular frontend
175,Internet ,Web Designer,css html frontend analytical skills photoshop
176,Internet ,Project Manager,teamwork communication skills ms office management analytical skills
177,Pharma ,Marketing Executive,teamwork marketing data science communication skills stratergy
178,Education ,Marketing Executive,teamwork marketing data science communication skills stratergy
179,IT-Software ,Product Manager,comercial awareness marketing communication skills creativity presentation skills
180,Medical ,Marketing Executive,teamwork marketing data science communication skills stratergy
181,IT-Software ,Graphic Designer,desgining branding typography communication basic coding graphics
182,Recruitment ,Senior Software Engineer,communication skills sql queries system desgin machine learning deep learning data structures  devops http algorithms rest api soap saas json nosql mongodb
183,IT-Software ,Project Manager,teamwork communication skills ms office management analytical skills
184,IT-Software ,Web Designer,css html frontend analytical skills photoshop
185,Recruitment ,Web Designer,css html frontend analytical skills photoshop
186,Internet ,Project Manager,teamwork communication skills ms office management analytical skills
187,IT-Software ,Dot Net Developer,database application oop full stack asp.net web development javascript
188,IT-Software ,Project Manager,teamwork communication skills ms office management analytical skills
189,IT-Software ,Software Engineer,coding c c++ python software testing machine learning deep learning java oop
190,IT-Software ,Android Developer,teamwork java layout desgin firebase ui
191,Medical ,Marketing Executive,teamwork marketing data science communication skills stratergy
192,IT-Software ,Content Writer,"adaptability research skills seo, search engine optimization editing poetry"
193,Internet ,Web Designer,css html frontend analytical skills photoshop
194,IT-Software ,Java Developer,java data structures algorithms advanced java web services
195,Pharma ,Senior Software Engineer,communication skills sql queries system desgin machine learning deep learning data structures  devops http algorithms rest api soap saas json nosql mongodb
196,Pharma ,Business Development Executive,strategic skills ms excel teamwork communication skills marketing
197,IT-Software ,Senior Software Engineer,communication skills sql queries system desgin machine learning deep learning data structures  devops http algorithms rest api soap saas json nosql mongodb
198,IT-Software ,Business Development Executive,strategic skills ms excel teamwork communication skills marketing
199,IT-Software ,UI Developer,ajax json jquery html css
200,Automobile ,Business Analyst,analytical skills marketing management skills ms office presentation skills
201,Internet ,Product Manager,comercial awareness marketing communication skills creativity presentation skills
202,Pharma ,Sales Manager,marketing communication skills planning abilities analysis delegation
